Date,Open,High,Low,Close,Volume,Adj Close
2016-07-26,10.13,10.20,10.13,10.20,6200,10.20
2016-07-25,10.23,10.23,10.15,10.20,22400,10.20
2016-07-22,10.24,10.27,10.23,10.25,23200,10.25
2016-07-21,10.00,10.08,9.95,10.02,7300,10.02
2016-07-20,10.04,10.08,10.01,10.02,4500,10.02
2016-07-19,10.32,10.32,10.18,10.18,1900,10.18
2016-07-18,10.34,10.35,10.31,10.34,6500,10.34
2016-07-15,10.35,10.35,10.32,10.32,5000,10.32
2016-07-14,10.25,10.32,10.24,10.31,8700,10.31
2016-07-13,10.33,10.33,10.22,10.25,3500,10.25
2016-07-12,10.36,10.36,10.26,10.28,6600,10.28
2016-07-11,10.30,10.44,10.26,10.31,37900,10.31
2016-07-08,10.43,10.48,10.43,10.48,2000,10.48
2016-07-07,10.46,10.46,10.30,10.39,17000,10.39
2016-07-06,10.34,10.45,10.34,10.45,2300,10.45
2016-07-05,10.79,10.79,10.35,10.35,2800,10.35
2016-07-01,10.55,10.82,10.55,10.82,13900,10.82
2016-06-30,10.62,10.65,10.57,10.64,15800,10.64
2016-06-29,10.57,10.57,10.49,10.49,3700,10.49
2016-06-28,9.60,10.56,9.60,10.53,16100,10.53
2016-06-27,10.35,10.35,10.20,10.29,11900,10.29
2016-06-24,10.04,10.19,10.04,10.19,1000,10.19
2016-06-23,10.19,10.29,10.11,10.29,2700,10.29
2016-06-22,10.41,10.42,10.17,10.23,6700,10.23
2016-06-21,10.32,10.40,10.28,10.38,11100,10.38
2016-06-20,10.15,10.35,10.15,10.30,10400,10.30
2016-06-17,10.04,10.11,10.04,10.11,9000,10.11
2016-06-16,10.02,10.06,9.77,10.02,20800,10.02
2016-06-15,10.11,10.14,10.03,10.03,3200,10.03
2016-06-14,10.14,10.14,10.07,10.09,2200,10.09
2016-06-13,10.30,10.30,9.93,10.19,10300,10.19
2016-06-10,10.19,10.21,10.13,10.17,14300,10.17
2016-06-09,9.92,10.28,9.92,10.22,14700,10.22
2016-06-08,9.94,9.96,9.90,9.93,32700,9.93
2016-06-07,9.81,9.95,9.79,9.95,5100,9.95
2016-06-06,9.71,9.83,9.70,9.83,10300,9.83
2016-06-03,9.72,9.75,9.68,9.68,4700,9.68
2016-06-02,9.69,9.76,9.62,9.71,31200,9.71
2016-06-01,9.60,9.63,9.53,9.62,12700,9.62
2016-05-31,9.50,9.59,9.43,9.54,43400,9.54
2016-05-27,9.33,9.42,9.33,9.38,15000,9.38
2016-05-26,9.25,9.36,9.25,9.34,29600,9.34
2016-05-25,9.18,9.30,9.16,9.30,35200,9.30
2016-05-24,9.13,9.16,9.08,9.16,35300,9.16
2016-05-23,9.16,9.18,9.16,9.18,2900,9.18
2016-05-20,9.22,9.22,9.22,9.22,100,9.22
2016-05-19,9.06,9.15,9.06,9.12,6900,9.12
2016-05-18,9.00,9.00,8.90,8.92,28000,8.92
2016-05-17,9.14,9.14,9.05,9.05,3400,9.05
2016-05-16,9.18,9.18,9.11,9.11,14200,9.11
2016-05-13,9.36,9.42,9.28,9.34,4900,9.34
2016-05-12,9.46,9.47,9.40,9.42,1400,9.42
2016-05-11,9.42,9.48,9.40,9.47,4400,9.47
2016-05-10,9.44,9.45,9.44,9.44,2500,9.44
2016-05-09,9.01,9.45,9.01,9.37,4000,9.37
2016-05-06,9.59,9.59,9.46,9.46,2300,9.46
2016-05-05,9.44,9.44,9.44,9.44,700,9.44
2016-05-04,9.49,9.58,9.49,9.54,4500,9.54
